Year,Month,Tmax
2016,april,13.5
2016,may,19
2016,june,20.7
2016,july,24
2016,august,24.7
2016,september,22.4
2016,october,15.9
2016,november,10.5
2016,december,10.2
2017,january,7.6
2017,february,10
2017,march,14.1
2017,april,15.8
2017,may,19.8
2017,june,24
2017,july,23.8
2017,august,22
2017,september,19.2
2017,october,17.1
2017,november,11.1
2017,december,8.7
2018,january,9.7
2018,february,6.7
2018,march,9.8
2018,april,15.5
2018,may,20.8
2018,june,24.2
2018,july,28.3
2018,august,24.5
2018,september,20.9
2018,october,16.5
2018,november,12.2
2018,december,10.7
2019,january,7.6
2019,february,12.4
2019,march,13.1
2019,april,15.8
2019,may,18.6
2019,june,21.8
2019,july,25.5
2019,august,25.2
2019,september,21.2
2019,october,15.5
2019,november,10.3
2019,december,10.2
2020,january,10.1
2020,february,11.1
2020,march,12
2020,april,18.2
2020,may,21.1
2020,june,22.5
2020,july,23.8
2020,august,25.6
2020,september,21.6
2020,october,15.1
2020,november,12.7
2020,december,8.5
2021,january,7
2021,february,9.1
2021,march,12.1
2021,april,13.1
2021,may,16.5
2021,june,22.5
2021,july,24.2
2021,august,21.9
2021,september,22.3
2021,october,16.9
2021,november,11.4
2021,december,10.1
